Almac�n;CODIGO;Desc. c�digo;Stock;Caducidad;Ubicaci�n;Precio;Importe;P.de Venta;Importe Venta;Dif. Precio;Dif. Importe;ABC;Familia;Descripci�n;Desc. c�digo;VA_COLOR;VA_COLOR2;VA_TOOLTIP
1;201811;ACOFARMA NESIRA GEL ALOE VERA + VITAMINA E 1 BOTELLA 1 L;0;may-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL ALOE VERA + VITAMINA E 1 BOTELLA 1 L;;;
1;200930;ACOFARMA NESIRA GEL AVENA 1 ENVASE 750 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL AVENA 1 ENVASE 750 ML;;;
1;200933;ACOFARMA NESIRA GEL CERO 1 ENVASE 750 ML CAMOMILA;0;feb-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL CERO 1 ENVASE 750 ML CAMOMILA;;;Art�culos piso
1;200929;ACOFARMA NESIRA GEL COCO 1 ENVASE 750 ML;0;ene-28;;0;0;2,95;0;2,95;0;;102;Dermofarmacia;ACOFARMA NESIRA GEL COCO 1 ENVASE 750 ML;;;Art�culos piso
1;200940;ACOFARMA NESIRA GEL DE VAINILLA 1 ENVASE 750 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL DE VAINILLA 1 ENVASE 750 ML;;;
1;200932;ACOFARMA NESIRA GEL DERMATOLOGICO CERO 1 ENVASE 750 ML ORIGINAL;0;feb-28;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL DERMATOLOGICO CERO 1 ENVASE 750 ML ORIGINAL;;;
1;200938;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ML ALGAS Y COLAGENO MARINO;0;nov-26;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ML ALGAS Y COLAGENO MARINO;;;
1;211569;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ML ARANDANO AZUL;0;;;;;0;;;;;101;Parafarmacia;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ML ARANDANO AZUL;;;
1;200937;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ML EXTRACTO DE GRANADA;0;nov-26;;0;0;2,95;0;2,95;0;;102;Dermofarmacia;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ML EXTRACTO DE GRANADA;;;
1;196092;ACOFARMA NESIRA GEL FACIAL INVISIBLE SPF 50+ 1 TUBO 50 ML;0;;;;;0;;;;;102;Dermofarmacia;ACOFARMA NESIRA GEL FACIAL INVISIBLE SPF 50+ 1 TUBO 50 ML;;;
