Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470008328994;832899;SYNALAR RECTAL SIMPLE CR 30 G;1;2,79;2,79;4,50;4,50;4,00;01/10/2026;
8470007797029;779702;SYNALAR RECTAL SIMPLE CR 60 G;1;4,75;4,75;7,68;7,68;4,00;01/09/2026;
8470007068037;706803;SYNJARDY 12.5MG1000MG 60 COMP;1;36,40;36,40;53,39;53,39;4,00;01/02/2028;
8470007068068;706806;SYNJARDY 5MG1000MG 60 COMP;1;36,40;36,40;53,39;53,39;4,00;01/02/2028;
8470006726747;672674;SYRON 80 MG 15 SOBRES;1;9,58;9,58;14,05;14,05;4,00;01/07/2028;
8470001488251;148825;SYRSPEND SF ALKA 6,3 GR POLVO PARA 100ML;3;10,66;31,98;50,85;16,95;21,00;01/07/2027;
8470002044586;204458;SYSTANE COMPLETE 10ML SIN CONS;3;10,28;30,84;50,85;16,95;10,00;01/07/2026;
8470002016279;201627;SYSTANE HIDRATACION 10ML SCON;1;12,03;12,03;17,95;17,95;10,00;01/03/2027;
8470001694508;169450;SYSTANE TOALLITAS 30 UD;1;9,27;9,27;14,95;14,95;21,00;01/04/2027;
8470001542342;154234;SYSTANE ULTRA COLI 10 ML;4;4,94;19,76;51,80;12,95;10,00;01/01/2027;
8470001756978;175697;SYSTANE ULTRA PL HI UD 0.7ML30;1;13,94;13,94;19,95;19,95;10,00;01/08/2026;
8470007238737;723873;TADALAFILO NORMON 10MG 4COM;2;2,05;4,10;20,38;10,19;4,00;30/04/2027;
8470007238782;723878;TADALAFILO NORMON 20MG 12COM;1;10,01;10,01;49,95;49,95;4,00;01/11/2026;
8470007238775;723877;TADALAFILO NORMON 20MG 8COM;1;6,61;6,61;32,95;32,95;4,00;01/04/2027;
8470007238836;723883;TADALAFILO NORMON 5MG 28COM;1;8,94;8,94;44,55;44,55;4,00;01/07/2027;
8470001864758;186475;TALCO PERFUMADO FARLINE 200GR;1;1,39;1,39;2,95;2,95;21,00;01/11/2026;
8470003991704;399170;TALONERA CAZO ESPO 212 M;1;12,40;12,40;21,95;21,95;10,00;01/12/2028;
8470001634122;163412;TALQUISTINA CR 100 ML;1;12,18;12,18;17,95;17,95;21,00;01/05/2027;
