COD_N1,COD_N2,COD_N3,COD_N4
N,N05,N05B,N05BC
N,N05,N05B,N05BE
N,N05,N05B,N05BX
N,N05,N05C,N05CA
N,N05,N05C,N05CB
N,N05,N05C,N05CD
N,N05,N05C,N05CF
N,N05,N05C,N05CH
N,N05,N05C,N05CJ
N,N05,N05C,N05CM
N,N05,N05C,N05CX
N,N06,N06A,N06AA
N,N06,N06A,N06AB
N,N06,N06A,N06AF
N,N06,N06A,N06AG
N,N06,N06A,N06AX
N,N06,N06B,N06BA
N,N06,N06B,N06BC
N,N06,N06B,N06BX
N,N06,N06C,N06CA
N,N06,N06C,N06CB
N,N06,N06D,N06DA
N,N06,N06D,N06DX
N,N07,N07A,N07AA
N,N07,N07A,N07AB
N,N07,N07A,N07AX
N,N07,N07B,N07BA
N,N07,N07B,N07BB
N,N07,N07B,N07BC
N,N07,N07C,N07CA
N,N07,N07X,N07XX
P,P01,P01A,P01AA
P,P01,P01A,P01AB
P,P01,P01A,P01AC
P,P01,P01A,P01AX
P,P01,P01B,P01BA
P,P01,P01B,P01BB
P,P01,P01B,P01BC
P,P01,P01B,P01BD
P,P01,P01B,P01BE
P,P01,P01B,P01BF
P,P01,P01C,P01CA
P,P01,P01C,P01CB
P,P01,P01C,P01CC
P,P01,P01C,P01CX
P,P02,P02B,P02BA
P,P02,P02C,P02CA
P,P02,P02C,P02CB
P,P02,P02C,P02CC
P,P02,P02C,P02CE
P,P02,P02C,P02CF
P,P02,P02C,P02CX
P,P02,P02D,P02DX
P,P03,P03A,P03AA
P,P03,P03A,P03AB
P,P03,P03A,P03AC
P,P03,P03A,P03AX
R,R01,R01A,R01AA
R,R01,R01A,R01AB
R,R01,R01A,R01AC
R,R01,R01A,R01AD
R,R01,R01A,R01AX
R,R01,R01B,R01BA
R,R02,R02A,R02AA
R,R02,R02A,R02AB
R,R02,R02A,R02AD
R,R02,R02A,R02AX
R,R03,R03A,R03AA
R,R03,R03A,R03AC
R,R03,R03A,R03AK
R,R03,R03A,R03AL
R,R03,R03B,R03BA
R,R03,R03B,R03BB
R,R03,R03B,R03BC
R,R03,R03C,R03CA
R,R03,R03C,R03CB
R,R03,R03C,R03CC
R,R03,R03D,R03DA
R,R03,R03D,R03DC
R,R03,R03D,R03DX
R,R05,R05C,R05CA
R,R05,R05C,R05CB
R,R05,R05C,R05CZ
R,R05,R05D,R05DA
R,R05,R05D,R05DB
R,R05,R05F,R05F P1
