COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
V04CM,Pruebas para trastornos de la fertilidad,V04C,Otros agentes diagnósticos,V04,Agentes diagnósticos,V,Varios
V04CX,Otros agentes diagnósticos,V04C,Otros agentes diagnósticos,V04,Agentes diagnósticos,V,Varios
V06DC,Carbohidratos,V06D,Otros nutrientes,V06,Nutrientes generales,V,Varios
V06DD,"Aminoácidos, incl. asociaciones con polipéptidos",V06D,Otros nutrientes,V06,Nutrientes generales,V,Varios
V06DX,Otras asociaciones de nutrientes,V06D,Otros nutrientes,V06,Nutrientes generales,V,Varios
V06SA,Fórmulas contenido graso modificado,V06S,Dietéticos para trastornos del metabolismo de lípidos,V06,Nutrientes generales,V,Varios
V06SB,Fórmulas exentas de lípidos,V06S,Dietéticos para trastornos del metabolismo de lípidos,V06,Nutrientes generales,V,Varios
V06UA,Aminoácidos esenciales,V06U,Dietéticos para trastornos del metabolismo de aminoácidos,V06,Nutrientes generales,V,Varios
V06UB,Fórmulas exentas de algún aminoácido esencial y no esencial,V06U,Dietéticos para trastornos del metabolismo de aminoácidos,V06,Nutrientes generales,V,Varios
V06UD,Fórmulas exentas de proteínas,V06U,Dietéticos para trastornos del metabolismo de aminoácidos,V06,Nutrientes generales,V,Varios
V06VD,Trastornos metabólicos de la galactosa,V06V,Dietéticos para trastornos del metabolismo de hidratos de carbono,V06,Nutrientes generales,V,Varios
V06VE,Trastornos metabólicos de la lactosa,V06V,Dietéticos para trastornos del metabolismo de hidratos de carbono,V06,Nutrientes generales,V,Varios
V06VF,Trastornos metabólicos de los monosacáridos,V06V,Dietéticos para trastornos del metabolismo de hidratos de carbono,V06,Nutrientes generales,V,Varios
V06WG,Dietéticos para alergia e intolerancia a las proteínas de leche de vaca,V06W,Dietéticos para alergia e intolerancia a las proteínas de leche de vaca,V06,Nutrientes generales,V,Varios
V06XA,Fórmulas completas monoméricas (elementales),V06X,Fórmulas completas,V06,Nutrientes generales,V,Varios
V06XB,Fórmulas completas peptídicas,V06X,Fórmulas completas,V06,Nutrientes generales,V,Varios
V06XC,Fórmulas completas poliméricas,V06X,Fórmulas completas,V06,Nutrientes generales,V,Varios
V06YS,Fórmulas especiales,V06Y,Fórmulas especiales,V06,Nutrientes generales,V,Varios
V06ZA,Módulos hidrocarbonados,V06Z,Módulos nutricionales,V06,Nutrientes generales,V,Varios
V06ZB,Módulos lipídicos,V06Z,Módulos nutricionales,V06,Nutrientes generales,V,Varios
V06ZC,Módulos mixtos,V06Z,Módulos nutricionales,V06,Nutrientes generales,V,Varios
V06ZD,Módulos proteicos,V06Z,Módulos nutricionales,V06,Nutrientes generales,V,Varios
V06ZF,Módulos espesantes,V06Z,Módulos nutricionales,V06,Nutrientes generales,V,Varios
V07AB,"Solventes y diluyentes, incl. soluciones de irrigación",V07A,Todos los demás productos no terapéuticos,V07,Todos los demás productos no terapéuticos,V,Varios
V08AA,"Medios de contraste para RX, de alta osmolaridad, hidrosolubles y nefrotrópicos",V08A,"Medios de contraste para RX, iodados",V08,Medios de contraste,V,Varios
V08AB,"Medios de contraste para RX, de baja osmolaridad, hidrosolubles y nefrotrópicos",V08A,"Medios de contraste para RX, iodados",V08,Medios de contraste,V,Varios
V08AC,Medios de contraste para RX hidrosolubles y hepatotrópicos,V08A,"Medios de contraste para RX, iodados",V08,Medios de contraste,V,Varios
V08AD,Medios de contraste para RX no hidrosolubles,V08A,"Medios de contraste para RX, iodados",V08,Medios de contraste,V,Varios
V08BA,Medios de contraste para RX que contienen sulfato de bario,V08B,"Medios de contraste para RX, no iodados",V08,Medios de contraste,V,Varios
V08CA,Medios de contraste paramagnéticos,V08C,Medios de contraste para imágenes de resonancia magnética,V08,Medios de contraste,V,Varios
V08CB,Medios de contraste superparamagnéticos,V08C,Medios de contraste para imágenes de resonancia magnética,V08,Medios de contraste,V,Varios
V08DA,Medios de contraste para ultrasonido,V08D,Medios de contraste para ultrasonido,V08,Medios de contraste,V,Varios
V09AA,Compuestos de tecnecio (99m Tc),V09A,Sistema nervioso central,V09,Radiofármacos para diagnóstico,V,Varios
V09AB,Compuestos de iodo (123 I),V09A,Sistema nervioso central,V09,Radiofármacos para diagnóstico,V,Varios
V09AX,Otros radiofármacos para diagnóstico del sistema nervioso central,V09A,Sistema nervioso central,V09,Radiofármacos para diagnóstico,V,Varios
V09BA,Compuestos de tecnecio (99m Tc),V09B,Sistema esquelético,V09,Radiofármacos para diagnóstico,V,Varios
V09CA,Compuestos de tecnecio (99m Tc),V09C,Sistema renal,V09,Radiofármacos para diagnóstico,V,Varios
V09CX,Otros radiofármacos para diagnóstico del sistema renal,V09C,Sistema renal,V09,Radiofármacos para diagnóstico,V,Varios
V09DA,Compuestos de tecnecio (99m Tc),V09D,Sistema hepático y reticuloendotelial,V09,Radiofármacos para diagnóstico,V,Varios
V09DB,"Tecnecio (99m Tc), partículas y coloides",V09D,Sistema hepático y reticuloendotelial,V09,Radiofármacos para diagnóstico,V,Varios
V09DX,Otros radiofármacos para diagnóstico del sistema hepático y reticuloendotelial,V09D,Sistema hepático y reticuloendotelial,V09,Radiofármacos para diagnóstico,V,Varios
V09EA,"Tecnecio (99m Tc), inhalantes",V09E,Sistema respiratorio,V09,Radiofármacos para diagnóstico,V,Varios
V09EB,"Tecnecio (99m Tc), partículas para inyección",V09E,Sistema respiratorio,V09,Radiofármacos para diagnóstico,V,Varios
V09FX,Varios radiofármacos para diagnóstico del tiroides,V09F,Tiroides,V09,Radiofármacos para diagnóstico,V,Varios
V09GA,Compuestos de tecnecio (99m Tc),V09G,Sistema cardiovascular,V09,Radiofármacos para diagnóstico,V,Varios
V09GX,Otros radiofármacos para diagnóstico del sistema cardiovascular,V09G,Sistema cardiovascular,V09,Radiofármacos para diagnóstico,V,Varios
V09HA,Compuestos de tecnecio (99m Tc),V09H,Detección de inflamación e infección,V09,Radiofármacos para diagnóstico,V,Varios
V09HB,Compuestos de indio (111 In),V09H,Detección de inflamación e infección,V09,Radiofármacos para diagnóstico,V,Varios
V09HX,Otros radiofármacos para detección de inflamación e infección,V09H,Detección de inflamación e infección,V09,Radiofármacos para diagnóstico,V,Varios
V09IA,Compuestos de tecnecio (99m Tc),V09I,Detección de tumores,V09,Radiofármacos para diagnóstico,V,Varios
V09IB,Compuestos de indio (111 In),V09I,Detección de tumores,V09,Radiofármacos para diagnóstico,V,Varios
V09IX,Otros radiofármacos para detección de tumores,V09I,Detección de tumores,V09,Radiofármacos para diagnóstico,V,Varios
V09XA,Compuestos de iodo (131 I),V09X,Otros radiofármacos para diagnóstico,V09,Radiofármacos para diagnóstico,V,Varios
V09XX,Varios radiofármacos para diagnóstico,V09X,Otros radiofármacos para diagnóstico,V09,Radiofármacos para diagnóstico,V,Varios
V10AA,Compuestos de itrio (90 Y),V10A,Antiinflamatorios,V10,Radiofármacos terapéuticos,V,Varios
V10AX,Otros radiofármacos terapéuticos antiinflamatorios,V10A,Antiinflamatorios,V10,Radiofármacos terapéuticos,V,Varios
V10BX,"Radiofármacos para paliación del dolor, varios",V10B,Paliación del dolor (agentes con tropismo óseo),V10,Radiofármacos terapéuticos,V,Varios
V10XA,Compuestos de iodo (131 I),V10X,Otros radiofármacos terapéuticos,V10,Radiofármacos terapéuticos,V,Varios
V10XX,Varios radiofármacos terapéuticos,V10X,Otros radiofármacos terapéuticos,V10,Radiofármacos terapéuticos,V,Varios
W01AA,Limpieza,W01A,Faciales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01AB,Hidratantes,W01A,Faciales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01AC,Nutritivas,W01A,Faciales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01AD,Regeneradora y revitalizante,W01A,Faciales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01BA,Hidratantes,W01B,Corporales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01BB,Productos para las piernas,W01B,Corporales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01BC,Productos para el busto,W01B,Corporales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01BD,Productos para las manos,W01B,Corporales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01BF,Productos antiestrías,W01B,Corporales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W01BG,Cuidado pieles atópicas,W01B,Corporales,W01,"Cremas, emulsiones, lociones, geles y aceites para la piel",W,Cosméticos
W07BA,Pieles sensibles,W07B,Productos especiales,W07,"Productos para baño y ducha (sales, espumas, aceites, geles)",W,Cosméticos
W07BB,"Pieles secas, descamativas",W07B,Productos especiales,W07,"Productos para baño y ducha (sales, espumas, aceites, geles)",W,Cosméticos
W10DA,Champús uso frecuente,W10D,"Productos de limpieza (lociones, polvos, champús)",W10,Productos capilares,W,Cosméticos
W10DB,Champús anticaspa,W10D,"Productos de limpieza (lociones, polvos, champús)",W10,Productos capilares,W,Cosméticos
W10DC,Champús revitalizantes y anticaida,W10D,"Productos de limpieza (lociones, polvos, champús)",W10,Productos capilares,W,Cosméticos
W10HA,Pediculicidas,W10H,Productos antiparasitarios,W10,Productos capilares,W,Cosméticos
X01AB,Preparados de inicio,X01A,"Lactantes, postlactantes y niños de corta edad",X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BA,Embarazadas o en periodo de lactación,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BB,Personas que realizan esfuerzos físicos o en condiciones climáticas especiales,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BC,Personas de edad avanzada,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BD,Vitaminas y minerales,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BE,Ricos en soja (isoflavonas),X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BF,Complemento de ginseng,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BG,Complemento piel y faneras,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BH,Complemento proteico,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BI,Complemento de lecitina,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BJ,Dificultades de masticación,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BK,Ricos en fitosteroles,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BL,Específicos para el varón,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BM,Específicos para la mujer,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BN,Infecciones urinarias en la mujer,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BO,Fermentos lácticos,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X01BX,Otros,X01B,Alimentos complementarios o para situaciones de esfuerzo o desgaste,X01,Alimentos personas sanas,X,Alimentos y dietéticos
X02AB,Alimentos para diabéticos,X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02AC,Espesante para disfagia,X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02AD,Suplemento hiperproteico,X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02AE,"Suplemento hiperproteico, energético para EPOC",X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02AH,Preparado lácteo sin lactosa,X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02AI,Suplemento energético sin lípidos,X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02AJ,Sustituto proteico sin fenilalanina,X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02AK,Preparado energético para fibrosis quística,X02A,Alimentos para usos médicos especiales,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02BA,sustituyen la dieta diaria completa,X02B,Dietas hipoenergéticas para reducción de peso,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
X02BB,sustituyen una o varias comidas de la dieta diaria,X02B,Dietas hipoenergéticas para reducción de peso,X02,Alimentos para regímenes nutricionales específicos,X,Alimentos y dietéticos
