Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA
728894;SYMBICORT 802.25 120 DOSIS;MEDICAMENTO;R03A;Astrazeneca Farmaceutica Spain S.A.;""
728965;ENERZAIR BREEZHALER 30CAP+INHA;MEDICAMENTO;R03A;Novartis Europharm Limited;""
728983;CADELIUS D 600MG2000 UI 30COM;MEDICAMENTO;A12A;Italfarmaco S.A.;""
729121;VAGIRUX 10MCG 18COMP VAGINALES;MEDICAMENTO;G03C;Gedeon Richter Plc.;""
729152;PIGMENTASA 4% CR 25 G;MEDICAMENTO;D11A;Laboratorios Vinas S.A.;""
729196;ALZIL PLUS 2010 MG 30 COM;MEDICAMENTO;C10B;Ferrer Internacional S.A.;""
729198;ALZIL PLUS 510MG 30 COMP;MEDICAMENTO;C10B;Ferrer Internacional S.A.;""
729513;VARIARGIL GOTAS 40MGML FR50ML;MEDICAMENTO;R06A;Laboratorios Farmaceuticos Logogen S.A.;""
729597;NAPROXENO SODIC KERN 550MG40CO;MEDICAMENTO;M01A;Kern Pharma S.L.;""
729763;LAVIRK 50MGG GEL 5G;MEDICAMENTO;D06B;Kern Pharma S.L.;""
729840;NILEMDO 180 MG 28 COMP;MEDICAMENTO;C10A;Daiichi Sankyo Europe Gmbh;""
729841;NUSTENDI 180 MG10 MG 28 COMP;MEDICAMENTO;C10B;Daiichi Sankyo Europe Gmbh;""
729880;ZIMBUS BREEZ 11446136MCG30CA;MEDICAMENTO;R03A;Novartis Europharm Limited;""
729915;VILDAGLIPMETFO CIN50850MG60;MEDICAMENTO;A10B;Laboratorios Cinfa S.A.;""
729935;NETDEX GEL 15 MONO 0.4 ML;MEDICAMENTO;S01C;Sifi S.P.A.;""
730036;CINFATOSNAIT 1.332 MGML 150M;MEDICAMENTO;R05D;Laboratorios Cinfa S.A.;""
730253;IVERGALEN IVERMECTINA 3MG 4 CO;MEDICAMENTO;P02C;Galenicum Derma S.L.U.;""
730331;CO-DIOVAN 32025 MG 28 CO DIF;MEDICAMENTO;C09D;Novartis Farma S.P.A.;""
730383;CO-DIOVAN 32012.5MG 28 CO DIF;MEDICAMENTO;C09D;Novartis Farma S.P.A.;""
730652;ZOMIG 2.5 MG 6 COMP DIF;MEDICAMENTO;N02C;Laboratoires Grunenthal;""
730842;THERVAN 20 MG 28 COMPRIMIDOS;MEDICAMENTO;C10A;Laboratorios Alter S.A.;""
730847;THERVAN 40 MG 28 COMPRIMIDOS;MEDICAMENTO;C10A;Laboratorios Alter S.A.;""
730928;SEFFALAIR SPIROMAX12.75100MCG;MEDICAMENTO;R03A;Teva B.V.;""
730946;ZOMIG FLAS 2.5 MG 6 COMP DIF;MEDICAMENTO;N02C;Laboratoires Grunenthal;""
